slug,tier,year,journal,title,authors,doi,url
ambrus-greiner-2012-aer,A,2012,American Economic Review,Imperfect Public Monitoring with Costly Punishment: An Experimental Study,ambrus-attila; Ben Greiner,,
gierlinger-laczo-2018-ej,A,2018,Economic Journal,Matching to Share Risk without Commitment,Johannes Gierlinger; laczo-sarolta,,
greulich-laczo-marcet-2023-jpe,A,2023,Journal of Political Economy,Pareto-Improving Optimal Capital and Labor Taxes,Katharina Greulich; laczo-sarolta; Albert Marcet,,https://www.journals.uchicago.edu/doi/10.1086/722982
laczo-2015-jeea,A,2015,Journal of the European Economic Association,Risk Sharing with Limited Commitment and Preference Heterogeneity: Structural Estimation and Testing,laczo-sarolta,10.1111/jeea.12115,https://doi.org/10.1111/jeea.12115
brodeur-et-al-2026-nature,A,2026,Nature,Reproducibility and robustness of economics and political science research,Abel Brodeur; et al.; gaspar-attila,,
ambrus-chaney-salitskiy-2018-qe,A,2018,Quantitative Economics,Pirates of the Mediterranean: An Empirical Investigation of Bargaining with Asymmetric Information,ambrus-attila; Eric Chaney; Igor Salitskiy,,
ambrus-gao-milan-2022-restud,A,2022,Review of Economic Studies,Informal Risk Sharing with Local Information,ambrus-attila; Wayne Yuan Gao; Pau Milán,,
ambrus-takahashi-2008-te,A,2008,Theoretical Economics,Multi-Sender Cheap Talk with Restricted State Spaces,ambrus-attila; Satoru Takahashi,,
brown-earle-et-al-2006-ces,B,2006,Comparative Economic Studies,"Nonstandard Forms and Measures of Employment and Unemployment in Transition: A Comparative Study of Estonia, Romania, and Russia",Jason Brown; John S. Earle; Vladimir Gimpelson; Rostislav Kapeliushnikov; Hartmut Lehmann; telegdy-almos; Irina Vantu; Ruxandra Visan; Alexandru Voicu,10.1057/palgrave.ces.8100181,https://doi.org/10.1057/palgrave.ces.8100181
elekes-stojkoski-et-al-2022-eg,B,2022,Economic Geography,Technology Network Structure Conditions the Economic Resilience of Regions,elekes-zoltan,,
vonyo-2014-ehr,B,2014,Economic History Review,"DavidGreasley and LesOxley, eds., Economics and history: surveys in cliometrics (Oxford, Wiley‐Blackwell, 2012. Pp. 304. ISBN 9781444337808 Pbk. £19.99)",vonyo-tamas,10.1111/1468-0289.12076_35,https://doi.org/10.1111/1468-0289.12076_35
gillman-csabafi-et-al-2025-ecmod,B,2025,Economic Modelling,Revisiting neoclassical growth theory: A primary role for inflation and capacity utilization,Max Gillman; Tamas Csabafi; benk-szilard; László Mátyás; Mitchell P. Smith; Mark N. Harris,10.1016/j.econmod.2025.107358,https://doi.org/10.1016/j.econmod.2025.107358
luintel-matthews-et-al-2020-em,B,2020,Economic Modelling,The role of Provincial Government Spending Composition in growth and convergence in China,Kul B. Luintel; Kent Matthews; Lucy Minford; valentinyi-akos; Baoshun Wang,10.1016/j.econmod.2020.04.024,https://doi.org/10.1016/j.econmod.2020.04.024
bekes-murakozy-et-al-2011-es,B,2011,Economic Systems,Firms and products in international trade: Evidence from Hungary,bekes-gabor; murakozy-balazs; harasztosi-peter,10.1016/j.ecosys.2010.11.005,https://doi.org/10.1016/j.ecosys.2010.11.005
segal-halevi-sziklai-2018-ecth,B,2018,Economic Theory,Monotonicity and competitive equilibrium in cake-cutting,Erel Segal-Halevi; sziklai-balazs,10.1007/s00199-018-1128-6,https://doi.org/10.1007/s00199-018-1128-6
koczy-nichifor-2012-ecth,B,2012,Economic Theory,The intellectual influence of economic journals: quality versus quantity,koczy-laszlo; Alexandru Nichifor,10.1007/s00199-012-0708-0,https://doi.org/10.1007/s00199-012-0708-0
virag-2011-ecth,B,2011,Economic Theory,First-price auctions with resale: the case of many bidders,virag-gabor,10.1007/s00199-011-0666-y,https://doi.org/10.1007/s00199-011-0666-y
koszegi-2009-ecth,B,2009,Economic Theory,Utility from anticipation and personal equilibrium,koszegi-botond,10.1007/s00199-009-0465-x,https://doi.org/10.1007/s00199-009-0465-x
telegdy-2023-el,B,2023,Economics Letters,The effects of enterprise relief grants during COVID-19,telegdy-almos,10.1016/j.econlet.2023.111482,https://doi.org/10.1016/j.econlet.2023.111482
sapriza-temesvary-2020-eclett,B,2020,Economics Letters,Asymmetries in the bank lending channel of monetary policy in the United States,Horacio Sapriza; temesvary-judit,10.1016/j.econlet.2020.109050,https://doi.org/10.1016/j.econlet.2020.109050
szabo-ujhelyi-2017-el,B,2017,Economics Letters,Choice and happiness in South Africa,Andrea Szabó; ujhelyi-gergely,10.1016/j.econlet.2017.02.002,https://doi.org/10.1016/j.econlet.2017.02.002
bekes-murakozy-2015-el,B,2015,Economics Letters,Measuring productivity premia with many modes of internationalization,bekes-gabor; murakozy-balazs,10.1016/j.econlet.2015.12.016,https://doi.org/10.1016/j.econlet.2015.12.016
darvas-2015-eclett,B,2015,Economics Letters,Does money matter in the euro area? Evidence from a new Divisia index,darvas-zsolt,10.1016/j.econlet.2015.05.034,https://doi.org/10.1016/j.econlet.2015.05.034
bako-kalecz-simon-2013-eclett,B,2013,Economics Letters,Quota bonuses with heterogeneous agents,bako-barna; András Kálecz‐Simon,10.1016/j.econlet.2013.03.008,https://doi.org/10.1016/j.econlet.2013.03.008
chung-eso-2013-el,B,2013,Economics Letters,Persuasion and learning by countersignaling,Kim‐Sau Chung; eso-peter,10.1016/j.econlet.2013.10.002,https://doi.org/10.1016/j.econlet.2013.10.002
bako-kalecz-simon-2012-eclett,B,2012,Economics Letters,Price discrimination in asymmetric Cournot oligopoly,bako-barna; András Kálecz‐Simon,10.1016/j.econlet.2012.03.016,https://doi.org/10.1016/j.econlet.2012.03.016
garay-simonovits-et-al-2011-eclett,B,2011,Economics Letters,Local interaction in tax evasion,Barnabás M. Garay; simonovits-andras; István János Tóth,10.1016/j.econlet.2011.12.066,https://doi.org/10.1016/j.econlet.2011.12.066
simonovits-2011-eclett,B,2011,Economics Letters,When are voluntary pensions indifferent?,simonovits-andras,10.1016/j.econlet.2011.01.031,https://doi.org/10.1016/j.econlet.2011.01.031
molnar-virag-2007-el,B,2007,Economics Letters,Revenue maximizing auctions with market interaction and signaling,József Molnár; virag-gabor,10.1016/j.econlet.2007.08.010,https://doi.org/10.1016/j.econlet.2007.08.010
eso-futo-1999-el,B,1999,Economics Letters,Auction design with a risk averse seller,eso-peter; Gábor Futó,10.1016/s0165-1765(99)00115-9,https://doi.org/10.1016/s0165-1765(99)00115-9
adamecz-adamecz-volgyi-et-al-2020-eoer,B,2020,Economics of Education Review,Is ‘first in family’ a good indicator for widening university participation?,adamecz-anna; Anna Adamecz-Völgyi; Morag Henderson; Nikki Shure,10.1016/j.econedurev.2020.102038,https://doi.org/10.1016/j.econedurev.2020.102038
szabo-lovasz-2023-ee,B,2023,Empirical Economics,Where can childcare expansion increase maternal labor supply? A comparison of quasi-experimental estimates from seven countries,szabo-morvai-agnes; Anna Lovász,10.1007/s00181-023-02531-6,https://doi.org/10.1007/s00181-023-02531-6
lovasz-szabo-2018-ee,B,2018,Empirical Economics,Childcare availability and maternal labor supply in a setting of high potential impact,Anna Lovász; szabo-morvai-agnes,10.1007/s00181-018-1423-x,https://doi.org/10.1007/s00181-018-1423-x
harasztosi-2015-ee,B,2015,Empirical Economics,Export spillovers in Hungary,harasztosi-peter,10.1007/s00181-015-0965-4,https://doi.org/10.1007/s00181-015-0965-4
biro-2013-ee,B,2013,Empirical Economics,Supplementary private health insurance and health care utilization of people aged 50+,biro-aniko,10.1007/s00181-013-0689-2,https://doi.org/10.1007/s00181-013-0689-2
benk-gillman-2023-enerecon,B,2023,Energy Economics,Identifying money and inflation expectation shocks to real oil prices,benk-szilard; Max Gillman,10.1016/j.eneco.2023.106878,https://doi.org/10.1016/j.eneco.2023.106878
csercsik-hubert-et-al-2019-enerecon,B,2019,Energy Economics,Modeling transfer profits as externalities in a cooperative game-theoretic model of natural gas networks,csercsik-david; Franz Hubert; sziklai-balazs; koczy-laszlo,10.1016/j.eneco.2019.01.013,https://doi.org/10.1016/j.eneco.2019.01.013
murakozy-telegdy-2016-eer,B,2016,European Economic Review,Political incentives and state subsidy allocation: Evidence from Hungarian municipalities,murakozy-balazs; telegdy-almos,10.1016/j.euroecorev.2016.07.003,https://doi.org/10.1016/j.euroecorev.2016.07.003
bekkers-francois-et-al-2012-eer,B,2012,European Economic Review,"Import prices, income, and inequality",Eddy Bekkers; Joseph François; manchin-miriam,10.1016/j.euroecorev.2012.02.005,https://doi.org/10.1016/j.euroecorev.2012.02.005
hijzen-gorg-et-al-2007-eer,B,2007,European Economic Review,Cross-border mergers and acquisitions and the role of trade costs,Alexander Hijzen; Holger Görg; manchin-miriam,10.1016/j.euroecorev.2007.07.002,https://doi.org/10.1016/j.euroecorev.2007.07.002
balog-batyi-et-al-2016-ejoor,B,2016,European Journal of Operational Research,Properties and comparison of risk capital allocation methods,Dóra Balog; Tamás László Bátyi; csoka-peter; Miklós Pintér,10.1016/j.ejor.2016.10.052,https://doi.org/10.1016/j.ejor.2016.10.052
csoka-herings-et-al-2010-ejor,B,2010,European Journal of Operational Research,Convex and exact games with non-transferable utility,csoka-peter; P. Jean‐Jacques Herings; koczy-laszlo; Miklós Pintér,10.1016/j.ejor.2010.08.004,https://doi.org/10.1016/j.ejor.2010.08.004
keller-2023-esr,B,2023,European Sociological Review,Peer effects on academic self-concept: a large randomized field experiment,keller-tamas,,
csoka-erb-et-al-2025-frl,B,2025,Finance Research Letters,Who is still in line? How bank beliefs drive fragility under runs,csoka-peter; Tamás Erb; kiss-hubert,10.1016/j.frl.2025.109110,https://doi.org/10.1016/j.frl.2025.109110
danis-2020-frl-shareholder-monitoring,B,2020,Finance Research Letters,Shareholder Monitoring with Strategic Investors,danis-andras,10.1016/j.frl.2019.06.007,https://doi.org/10.1016/j.frl.2019.06.007
csoka-hever-2018-frl,B,2018,Finance Research Letters,Portfolio valuation under liquidity constraints with permanent price impact,csoka-peter; Judit Hevér,10.1016/j.frl.2018.02.019,https://doi.org/10.1016/j.frl.2018.02.019
owen-temesvary-2018-frl,B,2018,Finance Research Letters,"CEO compensation, pay inequality, and the gender diversity of bank board of directors",Ann L. Owen; temesvary-judit,10.1016/j.frl.2018.10.010,https://doi.org/10.1016/j.frl.2018.10.010
csoka-2016-frl,B,2016,Finance Research Letters,Fair risk allocation in illiquid markets,csoka-peter,10.1016/j.frl.2016.11.007,https://doi.org/10.1016/j.frl.2016.11.007
doval-szentes-2024-gaeb,B,2024,Games and Economic Behavior,On the efficiency of queueing in dynamic matching markets,Laura Doval; szentes-balazs,10.1016/j.geb.2024.11.019,https://doi.org/10.1016/j.geb.2024.11.019
tobias-2022-gaeb,B,2022,Games and Economic Behavior,Equilibrium non-existence in generalized games,tobias-aron,10.1016/j.geb.2022.06.012,https://doi.org/10.1016/j.geb.2022.06.012
csoka-herings-2019-gaeb,B,2019,Games and Economic Behavior,Liability games,csoka-peter; P. Jean‐Jacques Herings,10.1016/j.geb.2019.05.007,https://doi.org/10.1016/j.geb.2019.05.007
cumbul-virag-2018-gaeb,B,2018,Games and Economic Behavior,Multilateral limit pricing in price-setting games,Eray Cumbul; virag-gabor,10.1016/j.geb.2018.06.008,https://doi.org/10.1016/j.geb.2018.06.008
tobias-2018-gaeb,B,2018,Games and Economic Behavior,Non-linear pricing and optimal shipping policies,tobias-aron,10.1016/j.geb.2018.08.008,https://doi.org/10.1016/j.geb.2018.08.008
virag-2016-gaeb,B,2016,Games and Economic Behavior,Auctions with resale: Reserve prices and revenues,virag-gabor,10.1016/j.geb.2016.07.009,https://doi.org/10.1016/j.geb.2016.07.009
ambrus-lu-2014-gaeb,B,2014,Games and Economic Behavior,Almost fully revealing cheap talk with imperfectly informed senders,ambrus-attila; Shih En Lu,10.1016/j.geb.2014.09.001,https://doi.org/10.1016/j.geb.2014.09.001
virag-2010-gaeb,B,2010,Games and Economic Behavior,High profit equilibria in directed search models,virag-gabor,10.1016/j.geb.2010.08.006,https://doi.org/10.1016/j.geb.2010.08.006
csoka-herings-et-al-2008-geb,B,2008,Games and Economic Behavior,Stable allocations of risk,csoka-peter; P. Jean‐Jacques Herings; koczy-laszlo,10.1016/j.geb.2008.11.001,https://doi.org/10.1016/j.geb.2008.11.001
koczy-2008-geb,B,2008,Games and Economic Behavior,Sequential coalition formation and the core in the presence of externalities,koczy-laszlo,10.1016/j.geb.2008.04.002,https://doi.org/10.1016/j.geb.2008.04.002
virag-2008-gaeb,B,2008,Games and Economic Behavior,Efficiency and competition in the long run: The survival of the unfit,virag-gabor,10.1016/j.geb.2008.10.008,https://doi.org/10.1016/j.geb.2008.10.008
virag-2007-gaeb,B,2007,Games and Economic Behavior,Repeated common value auctions with asymmetric bidders,virag-gabor,10.1016/j.geb.2007.01.001,https://doi.org/10.1016/j.geb.2007.01.001
eso-schummer-2003-gaeb,B,2003,Games and Economic Behavior,Bribing and signaling in second price auctions,eso-peter; James Schummer,10.1016/j.geb.2003.06.005,https://doi.org/10.1016/j.geb.2003.06.005
koczy-lauwers-2003-geb,B,2003,Games and Economic Behavior,The coalition structure core is accessible,koczy-laszlo; Luc Lauwers,10.1016/j.geb.2003.06.006,https://doi.org/10.1016/j.geb.2003.06.006
szentes-rosenthal-2003-gaeb,B,2003,Games and Economic Behavior,Three-object two-bidder simultaneous auctions: chopsticks and tetrahedra,szentes-balazs; Robert W. Rosenthal,10.1016/s0899-8256(02)00530-4,https://doi.org/10.1016/s0899-8256(02)00530-4
biro-prinz-2020-hp,B,2020,Health Policy,Healthcare spending inequality: Evidence from Hungarian administrative data,biro-aniko; prinz-daniel,10.1016/j.healthpol.2020.01.006,https://doi.org/10.1016/j.healthpol.2020.01.006
biro-hellowell-2016-hp,B,2016,Health Policy,Public–private sector interactions and the demand for supplementary health insurance in the United Kingdom,biro-aniko; Mark Hellowell,10.1016/j.healthpol.2016.05.002,https://doi.org/10.1016/j.healthpol.2016.05.002
biro-2013-hp,B,2013,Health Policy,"Copayments, gatekeeping, and the utilization of outpatient public and private care at age 50 and above in Europe",biro-aniko,10.1016/j.healthpol.2013.03.009,https://doi.org/10.1016/j.healthpol.2013.03.009
lieli-stinchcombe-et-al-2019-ijof,B,2019,International Journal of Forecasting,Unrestricted and controlled identification of loss functions: Possibility and impossibility results,lieli-robert; Maxwell B. Stinchcombe; Viola M. Grolmusz,10.1016/j.ijforecast.2018.11.007,https://doi.org/10.1016/j.ijforecast.2018.11.007
khan-lieli-2018-ijof,B,2018,International Journal of Forecasting,"Information flow between prediction markets, polls and media: Evidence from the 2008 presidential primaries",Urmee Khan; lieli-robert,10.1016/j.ijforecast.2018.04.002,https://doi.org/10.1016/j.ijforecast.2018.04.002
tobias-2021-ijogt,B,2021,International Journal of Game Theory,Meet meets join: the interaction between pooled and common knowledge,tobias-aron,10.1007/s00182-021-00778-w,https://doi.org/10.1007/s00182-021-00778-w
sziklai-2017-ijogt,B,2017,International Journal of Game Theory,How to identify experts in a community?,sziklai-balazs,10.1007/s00182-017-0582-x,https://doi.org/10.1007/s00182-017-0582-x
eso-galambos-2012-ijogt,B,2012,International Journal of Game Theory,Disagreement and evidence production in strategic information transmission,eso-peter; Ádám Galambos,10.1007/s00182-012-0344-8,https://doi.org/10.1007/s00182-012-0344-8
eso-schummer-2009-ijogt,B,2009,International Journal of Game Theory,Credible deviations from signaling equilibria,eso-peter; James Schummer,10.1007/s00182-009-0161-x,https://doi.org/10.1007/s00182-009-0161-x
biro-cechlarova-et-al-2007-ijgt,B,2007,International Journal of Game Theory,The dynamics of stable matchings and half-matchings for the stable marriage and roommates problems,biro-peter; Kataŕına Cechlárová; fleiner-tamas,10.1007/s00182-007-0084-3,https://doi.org/10.1007/s00182-007-0084-3
gautier-somogyi-2020-ijio,B,2020,International Journal of Industrial Organization,Prioritization vs zero-rating: Discrimination on the internet,Axel Gautier; somogyi-robert,10.1016/j.ijindorg.2020.102662,https://doi.org/10.1016/j.ijindorg.2020.102662
galasso-mitchell-et-al-2016-ijio,B,2016,International Journal of Industrial Organization,Market outcomes and dynamic patent buyouts,Alberto Galasso; Matthew Mitchell; virag-gabor,10.1016/j.ijindorg.2016.06.007,https://doi.org/10.1016/j.ijindorg.2016.06.007
temesvary-2015-ijio,B,2015,International Journal of Industrial Organization,Dynamic branching and interest rate competition of commercial banks: Evidence from Hungary,temesvary-judit,10.1016/j.ijindorg.2015.09.003,https://doi.org/10.1016/j.ijindorg.2015.09.003
raviv-virag-2008-ijio,B,2008,International Journal of Industrial Organization,Gambling by auctions,Yaron Raviv; virag-gabor,10.1016/j.ijindorg.2008.10.005,https://doi.org/10.1016/j.ijindorg.2008.10.005
barath-ferto-2024-jae,B,2024,Journal of Agricultural Economics,The relationship between the ecologisation of farms and total factor productivity,barath-lajos; ferto-imre,,
barath-ferto-bojnec-2020-jae,B,2020,Journal of Agricultural Economics,"The effect of investment, LFA and agri-environmental subsidies on productivity components",barath-lajos; ferto-imre; Štefan Bojnec,,
sapriza-temesvary-2024-jbf,B,2024,Journal of Banking & Finance,Economic activity and the bank credit channel,Horacio Sapriza; temesvary-judit,10.1016/j.jbankfin.2024.107216,https://doi.org/10.1016/j.jbankfin.2024.107216
owen-temesvary-2018-jbf,B,2018,Journal of Banking & Finance,The performance effects of gender diversity on bank boards,Ann L. Owen; temesvary-judit,10.1016/j.jbankfin.2018.02.015,https://doi.org/10.1016/j.jbankfin.2018.02.015
csoka-herings-2014-jobf,B,2014,Journal of Banking & Finance,Risk allocation under liquidity constraints,csoka-peter; P. Jean‐Jacques Herings,10.1016/j.jbankfin.2014.08.017,https://doi.org/10.1016/j.jbankfin.2014.08.017
temesvary-2014-jbf,B,2014,Journal of Banking & Finance,The determinants of U.S. banks’ international activities,temesvary-judit,10.1016/j.jbankfin.2014.04.014,https://doi.org/10.1016/j.jbankfin.2014.04.014
darvas-2008-jbf,B,2008,Journal of Banking & Finance,Leveraged carry trade portfolios,darvas-zsolt,10.1016/j.jbankfin.2008.10.007,https://doi.org/10.1016/j.jbankfin.2008.10.007
csoka-herings-et-al-2007-jbf,B,2007,Journal of Banking & Finance,Coherent measures of risk from a general equilibrium perspective,csoka-peter; P. Jean‐Jacques Herings; koczy-laszlo,10.1016/j.jbankfin.2006.10.026,https://doi.org/10.1016/j.jbankfin.2006.10.026
egert-halpern-2005-jobf,B,2005,Journal of Banking & Finance,Equilibrium exchange rates in Central and Eastern Europe: A meta-regression analysis,Balázs Égert; halpern-laszlo,10.1016/j.jbankfin.2005.07.001,https://doi.org/10.1016/j.jbankfin.2005.07.001
kiss-rodriguez-lara-et-al-2015-jbee,B,2015,Journal of Behavioral and Experimental Economics,Think twice before running! Bank runs and cognitive abilities,kiss-hubert; Ismael Rodríguez-Lara; Alfonso Rosa-García,10.1016/j.socec.2015.01.006,https://doi.org/10.1016/j.socec.2015.01.006
kiss-rodriguez-lara-et-al-2014-jbee,B,2014,Journal of Behavioral and Experimental Economics,Do women panic more than men? An experimental study of financial decisions,kiss-hubert; Ismael Rodríguez-Lara; Alfonso Rosa-García,10.1016/j.socec.2014.06.003,https://doi.org/10.1016/j.socec.2014.06.003
dobrinsky-korosi-et-al-2006-joce,B,2006,Journal of Comparative Economics,Price markups and returns to scale in imperfect markets: Bulgaria and Hungary,Rumen Dobrinsky; Gábor Kőrösi; Nikolay Markov; halpern-laszlo,10.1016/j.jce.2005.11.006,https://doi.org/10.1016/j.jce.2005.11.006
earle-telegdy-2002-joce,B,2002,Journal of Comparative Economics,Privatization Methods and Productivity Effects in Romanian Industrial Enterprises,John S. Earle; telegdy-almos,10.1006/jcec.2002.1798,https://doi.org/10.1006/jcec.2002.1798
simonovits-1991-jce,B,1991,Journal of Comparative Economics,"Investments, starts, and cycles in socialist economies: A mathematical model",simonovits-andras,10.1016/0147-5967(91)90026-p,https://doi.org/10.1016/0147-5967(91)90026-p
goel-telegdy-et-al-2024-jocf,B,2024,Journal of Corporate Finance,Subsidy-driven firm growth: Does loan history matter? Evidence from a European Union subsidy program,Tirupam Goel; telegdy-almos; Ádám Banai; Előd Takáts,10.1016/j.jcorpfin.2024.102592,https://doi.org/10.1016/j.jcorpfin.2024.102592
abagna-hornok-mulyukova-2025-jde,B,2025,Journal of Development Economics,Place-based Policies and Household Wealth in Africa,Matthew Abagna; hornok-cecilia; Alina Mulyukova,10.1016/j.jdeveco.2025.103461,https://www.sciencedirect.com/science/article/pii/S0304387825000331
gaspar-giommoni-et-al-2025-jde,B,2025,Journal of Development Economics,Corruption and Extremism,gaspar-attila; Tommaso Giommoni; Massimo Morelli; Antonio Nicolò,10.1016/j.jdeveco.2025.103459,https://www.sciencedirect.com/science/article/pii/S030438782500077X
szabo-ujhelyi-2015-jde,B,2015,Journal of Development Economics,Reducing nonpayment for public utilities: Experimental evidence from South Africa,Andrea Szabó; ujhelyi-gergely,10.1016/j.jdeveco.2015.06.002,https://doi.org/10.1016/j.jdeveco.2015.06.002
juhn-ujhelyi-et-al-2013-jde,B,2013,Journal of Development Economics,"Men, women, and machines: How trade impacts gender inequality",Chinhui Juhn; ujhelyi-gergely; Carolina Villegas‐Sánchez,10.1016/j.jdeveco.2013.09.009,https://doi.org/10.1016/j.jdeveco.2013.09.009
elliott-lieli-2013-joem,B,2013,Journal of Econometrics,Predicting binary outcomes,Graham Elliott; lieli-robert,10.1016/j.jeconom.2013.01.003,https://doi.org/10.1016/j.jeconom.2013.01.003
lieli-white-2009-joem,B,2009,Journal of Econometrics,The construction of empirical credit scoring rules based on maximization principles,lieli-robert; Halbert White,10.1016/j.jeconom.2009.10.028,https://doi.org/10.1016/j.jeconom.2009.10.028
bencsik-budhiraja-2025-joebo,B,2025,Journal of Economic Behavior & Organization,Cannabis deregulation and policing,bencsik-panka; Saayili Budhiraja,10.1016/j.jebo.2025.107202,https://doi.org/10.1016/j.jebo.2025.107202
frisancho-krishna-et-al-2016-joebo,B,2016,Journal of Economic Behavior & Organization,Better luck next time: Learning through retaking,Verónica Frisancho; Kala Krishna; lychagin-sergey; Cemile Yavas,10.1016/j.jebo.2016.01.012,https://doi.org/10.1016/j.jebo.2016.01.012
kiss-rodriguez-lara-et-al-2014-joebo,B,2014,Journal of Economic Behavior & Organization,Do social networks prevent or promote bank runs?,kiss-hubert; Ismael Rodríguez-Lara; Alfonso Rosa-García,10.1016/j.jebo.2014.01.019,https://doi.org/10.1016/j.jebo.2014.01.019
ambrus-azevedo-et-al-2013-joebo,B,2013,Journal of Economic Behavior & Organization,Legislative committees as information intermediaries: A unified theory of committee selection and amendment rules,ambrus-attila; Eduardo M. Azevedo; Yuichiro Kamada; Yuki Takagi,10.1016/j.jebo.2013.08.003,https://doi.org/10.1016/j.jebo.2013.08.003
duernecker-herrendorf-et-al-2021-joeda,B,2021,Journal of Economic Dynamics and Control,The productivity growth slowdown and Kaldor’s growth facts,Georg Duernecker; Berthold Herrendorf; valentinyi-akos,10.1016/j.jedc.2021.104200,https://doi.org/10.1016/j.jedc.2021.104200
laczo-2014-jedc,B,2014,Journal of Economic Dynamics and Control,Does risk sharing increase with risk aversion and risk when commitment is limited?,laczo-sarolta,10.1016/j.jedc.2014.07.003,https://doi.org/10.1016/j.jedc.2014.07.003
benk-gillman-et-al-2009-jedc,B,2009,Journal of Economic Dynamics and Control,A banking explanation of the US velocity of money: 1919–2004,benk-szilard; Max Gillman; Michal Kejak,10.1016/j.jedc.2009.11.005,https://doi.org/10.1016/j.jedc.2009.11.005
herrendorf-valentinyi-2005-joeda,B,2005,Journal of Economic Dynamics and Control,On the stability of the two-sector neoclassical growth model with externalities,Berthold Herrendorf; valentinyi-akos,10.1016/j.jedc.2005.05.006,https://doi.org/10.1016/j.jedc.2005.05.006
molnar-simonovits-1998-jedc,B,1998,Journal of Economic Dynamics and Control,"Expectations, (in)stability and (in)viability in realistic overlapping cohorts models",József Molnár; simonovits-andras,10.1016/s0165-1889(97)00121-8,https://doi.org/10.1016/s0165-1889(97)00121-8
hommes-nusse-et-al-1995-jedc,B,1995,Journal of Economic Dynamics and Control,Cycles and chaos in a socialist economy,Cars Hommes; Helena E. Nusse; simonovits-andras,10.1016/0165-1889(93)00778-3,https://doi.org/10.1016/0165-1889(93)00778-3
simonovits-1981-jedc,B,1981,Journal of Economic Dynamics and Control,Maximal convergence speed of decentralized control,simonovits-andras,10.1016/0165-1889(81)90004-x,https://doi.org/10.1016/0165-1889(81)90004-x
lorincz-2023-joeg,B,2023,Journal of Economic Geography,Residential mobility and labour market dynamics,lorincz-laszlo,,
vonyo-2021-jeh,B,2021,Journal of Economic History,"Technology and the Environment in State-Socialist Hungary: An Economic History. By Viktor Pál. London: Palgrave Macmillan, 2017. Pp. xiv, 263. $151.53, cloth; $116.92, eBook.",vonyo-tamas,10.1017/s0022050721000231,https://doi.org/10.1017/s0022050721000231
cervone-gaspar-et-al-2024-jecinq,B,2024,Journal of Economic Inequality,Inequality Perception and Preferences Globally and Locally,Carmen Cervone; gaspar-attila; et al.,,
garrett-georgiadis-et-al-2023-jet,B,2023,Journal of Economic Theory,Optimal technology design,Daniel F. Garrett; George Georgiadis; Alex Smolin; szentes-balazs,10.1016/j.jet.2023.105621,https://doi.org/10.1016/j.jet.2023.105621
kondor-zawadowski-2019-jet,B,2019,Journal of Economic Theory,Learning in crowded markets,kondor-peter; zawadowski-adam,10.1016/j.jet.2019.08.006,https://doi.org/10.1016/j.jet.2019.08.006
ambrus-egorov-2017-jet,B,2017,Journal of Economic Theory,Delegation and nonmonetary incentives,ambrus-attila; Georgy Egorov,10.1016/j.jet.2017.06.002,https://doi.org/10.1016/j.jet.2017.06.002
