slug,tier,year,journal,title,authors,doi,url
ambrus-greiner-2019-jpube,B,2019,Journal of Public Economics,"Individual, Dictator, and Democratic punishment in public good games with perfect and imperfect observability",ambrus-attila; Ben Greiner,10.1016/j.jpubeco.2019.104053,https://doi.org/10.1016/j.jpubeco.2019.104053
ambrus-greiner-et-al-2017-jpube,B,2017,Journal of Public Economics,The case for nil votes: Voter behavior under asymmetric information in compulsory and voluntary voting systems,ambrus-attila; Ben Greiner; Anne Sastro,10.1016/j.jpubeco.2017.08.006,https://doi.org/10.1016/j.jpubeco.2017.08.006
tobias-2015-jpube,B,2015,Journal of Public Economics,Income Redistribution in Open Economies,tobias-aron,10.1016/j.jpubeco.2015.12.005,https://doi.org/10.1016/j.jpubeco.2015.12.005
ambrus-pathak-2010-jpube,B,2011,Journal of Public Economics,Cooperation over finite horizons: A theory and experiments,ambrus-attila; Parag A. Pathak,10.1016/j.jpubeco.2010.11.016,https://doi.org/10.1016/j.jpubeco.2010.11.016
koszegi-rabin-2008-jpube,B,2008,Journal of Public Economics,"Choices, situations, and happiness",koszegi-botond; Matthew Rabin,10.1016/j.jpubeco.2008.03.010,https://doi.org/10.1016/j.jpubeco.2008.03.010
ujhelyi-2008-jpube,B,2008,Journal of Public Economics,Campaign finance regulation with competing interest groups,ujhelyi-gergely,10.1016/j.jpubeco.2008.09.009,https://doi.org/10.1016/j.jpubeco.2008.09.009
gruber-koszegi-2003-jpube,B,2003,Journal of Public Economics,Tax incidence when individuals are time-inconsistent: the case of cigarette excise taxes,Jonathan Gruber; koszegi-botond,10.1016/j.jpubeco.2003.06.001,https://doi.org/10.1016/j.jpubeco.2003.06.001
dia-mond-koszegi-2002-jpube,B,2002,Journal of Public Economics,Quasi-hyperbolic discounting and retirement,Peter Dia­mond; koszegi-botond,10.1016/s0047-2727(02)00041-5,https://doi.org/10.1016/s0047-2727(02)00041-5
teruel-coad-et-al-2021-tjott,B,2021,Journal of Technology Transfer,The birth of new HGEs: internationalization through new digital technologies,Mercedes Teruel; Alex Coad; Clemens Domnick; Florian Flachenecker; harasztosi-peter; Mario Lorenzo Janiri; Rozália Pál,10.1007/s10961-021-09861-6,https://doi.org/10.1007/s10961-021-09861-6
csafordi-lorincz-et-al-2018-jtt,B,2018,Journal of Technology Transfer,"Productivity spillovers through labor flows: productivity gap, multinational experience and industry relatedness",Zsolt Csáfordi; lorincz-laszlo; lengyel-balazs; kiss-hubert,10.1007/s10961-018-9670-8,https://doi.org/10.1007/s10961-018-9670-8
